SpikeMax,SpikeMin,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Lag8,Lag9,Lag10,Lag11
,,"{""SLC26A9"", ""protein_coding:SLVRNA""}","{""CDH4"", ""protein_coding:SLVRNA""}","{""DSG2"", ""protein_coding:SLVRNA""}","{""PTPN2"", ""retained_intron:SLVRNA""}","{""TUBA1A"", ""protein_coding:SLVRNA""}","{""TNRC6C"", ""protein_coding:SLVRNA""}","{""KIAA2013"", ""protein_coding:SLVRNA""}","{""DBNL"", ""retained_intron:SLVRNA""}","{""OAS1"", ""protein_coding:SLVRNA""}","{""LARP4B"", ""protein_coding:SLVRNA""}","{""DHX40"", ""protein_coding:SLVRNA""}"
,,"{""SEC61A2"", ""protein_coding:SLVRNA""}","{""RP11-358L22.3"", ""sense_intronic:SLVRNA""}","{""FAM3D"", ""protein_coding:SLVRNA""}","{""BTBD7"", ""protein_coding:SLVRNA""}","{""ARIH1"", ""protein_coding:SLVRNA""}","{""RAB30"", ""protein_coding:SLVRNA""}","{""FAM214B"", ""protein_coding:SLVRNA""}","{""RP11-492E3.1"", ""lincRNA:SLVRNA""}","{""JPX"", ""lincRNA:SLVRNA""}","{""G3BP2"", ""protein_coding:SLVRNA""}","{""SIDT2"", ""protein_coding:SLVRNA""}"
,,"{""LINC00511"", ""lincRNA:SLVRNA""}","{""CCDC141"", ""protein_coding:SLVRNA""}","{""BST2"", ""protein_coding:SLVRNA""}","{""KPNA4"", ""protein_coding:SLVRNA""}","{""STK26"", ""protein_coding:SLVRNA""}","{""AMPD2"", ""retained_intron:SLVRNA""}","{""ERN1"", ""protein_coding:SLVRNA""}","{""UGDH"", ""protein_coding:SLVRNA""}","{""CDK12"", ""protein_coding:SLVRNA""}","{""DPEP2"", ""retained_intron:SLVRNA""}","{""DIO2"", ""protein_coding:SLVRNA""}"
,,"{""GDF15"", ""protein_coding:SLVRNA""}","{""TTC21A"", ""retained_intron:SLVRNA""}","{""BANP"", ""processed_transcript:SLVRNA""}","{""UQCR11"", ""protein_coding:SLVRNA""}","{""CLIC4"", ""protein_coding:SLVRNA""}","{""HLA-E"", ""protein_coding:SLVRNA""}","{""USP10"", ""protein_coding:SLVRNA""}","{""USP25"", ""protein_coding:SLVRNA""}","{""SMIM12"", ""protein_coding:SLVRNA""}","{""TMEM159"", ""protein_coding:SLVRNA""}","{""RICTOR"", ""protein_coding:SLVRNA""}"
,,"{""MYO5B"", ""protein_coding:SLVRNA""}","{""NAB1"", ""protein_coding:SLVRNA""}","{""CCNK"", ""protein_coding:SLVRNA""}","{""YIPF6"", ""protein_coding:SLVRNA""}","{""GPBP1L1"", ""protein_coding:SLVRNA""}",,"{""SDF4"", ""retained_intron:SLVRNA""}","{""NAGK"", ""protein_coding:SLVRNA""}","{""SARAF"", ""protein_coding:SLVRNA""}","{""HUWE1"", ""protein_coding:SLVRNA""}","{""DLEU2"", ""antisense:SLVRNA""}"
,,"{""EZR"", ""protein_coding:SLVRNA""}","{""RP5-857K21.8"", ""unprocessed_pseudogene:SLVRNA""}","{""ELMO1"", ""protein_coding:SLVRNA""}","{""FAM83D"", ""protein_coding:SLVRNA""}","{""BSDC1"", ""protein_coding:SLVRNA""}",,"{""DYNC1H1"", ""protein_coding:SLVRNA""}","{""PRSS8"", ""retained_intron:SLVRNA""}","{""CTSB"", ""protein_coding:SLVRNA""}","{""NFYA"", ""protein_coding:SLVRNA""}","{""CREB5"", ""protein_coding:SLVRNA""}"
,,"{""FBXO46"", ""protein_coding:SLVRNA""}","{""PPP1R11"", ""protein_coding:SLVRNA""}","{""TAF10"", ""retained_intron:SLVRNA""}","{""SMARCD2"", ""protein_coding:SLVRNA""}","{""FBXO42"", ""protein_coding:SLVRNA""}",,"{""MKL1"", ""protein_coding:SLVRNA""}","{""PPP4R1"", ""protein_coding:SLVRNA""}","{""TNFRSF10B"", ""retained_intron:SLVRNA""}","{""SPRYD3"", ""protein_coding:SLVRNA""}","{""ATP2B4"", ""nonsense_mediated_decay:SLVRNA""}"
,,"{""C17orf49"", ""retained_intron:SLVRNA""}","{""MFNG"", ""protein_coding:SLVRNA""}","{""ZC3H18"", ""retained_intron:SLVRNA""}","{""GNB2"", ""protein_coding:SLVRNA""}","{""BLOC1S1"", ""protein_coding:SLVRNA""}",,"{""SPCS2"", ""protein_coding:SLVRNA""}","{""PHF2"", ""protein_coding:SLVRNA""}","{""CYSTM1"", ""protein_coding:SLVRNA""}","{""RP13-104F24.2"", ""processed_transcript:SLVRNA""}","{""PLXND1"", ""protein_coding:SLVRNA""}"
,,"{""ATG16L2"", ""protein_coding:SLVRNA""}","{""TFIP11"", ""protein_coding:SLVRNA""}","{""PDZD8"", ""protein_coding:SLVRNA""}","{""PRAM1"", ""protein_coding:SLVRNA""}","{""ERBB2"", ""retained_intron:SLVRNA""}",,"{""MAP7D1"", ""retained_intron:SLVRNA""}","{""TTLL4"", ""protein_coding:SLVRNA""}","{""GANC"", ""protein_coding:SLVRNA""}","{""CDK17"", ""protein_coding:SLVRNA""}","{""GM2A"", ""protein_coding:SLVRNA""}"
,,"{""C11orf31"", ""protein_coding:SLVRNA""}","{""BIRC6"", ""retained_intron:SLVRNA""}","{""CD302"", ""protein_coding:SLVRNA""}","{""KLF2"", ""protein_coding:SLVRNA""}","{""PTPN12"", ""protein_coding:SLVRNA""}",,"{""ELL"", ""protein_coding:SLVRNA""}","{""PRRC2C"", ""processed_transcript:SLVRNA""}","{""YARS"", ""processed_transcript:SLVRNA""}","{""LILRB4"", ""protein_coding:SLVRNA""}","{""IFRD1"", ""retained_intron:SLVRNA""}"
,,"{""MPP1"", ""protein_coding:SLVRNA""}","{""NSD3"", ""protein_coding:SLVRNA""}","{""TSG101"", ""protein_coding:SLVRNA""}","{""FAM200B"", ""processed_transcript:SLVRNA""}","{""NFE2L1"", ""protein_coding:SLVRNA""}",,"{""TGFBR2"", ""protein_coding:SLVRNA""}","{""TREML2"", ""protein_coding:SLVRNA""}","{""RAB3IP"", ""protein_coding:SLVRNA""}","{""STK10"", ""protein_coding:SLVRNA""}","{""CSAD"", ""retained_intron:SLVRNA""}"
,,"{""FBXO32"", ""retained_intron:SLVRNA""}","{""SETD7"", ""protein_coding:SLVRNA""}","{""SLC39A8"", ""protein_coding:SLVRNA""}","{""C19orf33"", ""protein_coding:SLVRNA""}","{""SLC25A23"", ""protein_coding:SLVRNA""}",,"{""SRSF4"", ""protein_coding:SLVRNA""}","{""UBE2J1"", ""protein_coding:SLVRNA""}","{""SPAG1"", ""protein_coding:SLVRNA""}","{""EGLN3"", ""protein_coding:SLVRNA""}","{""S100A6"", ""protein_coding:SLVRNA""}"
,,"{""ARIH1"", ""retained_intron:SLVRNA""}","{""CANX"", ""protein_coding:SLVRNA""}","{""CHST12"", ""protein_coding:SLVRNA""}","{""NAA30"", ""protein_coding:SLVRNA""}","{""KAT2B"", ""protein_coding:SLVRNA""}",,"{""ADD3"", ""protein_coding:SLVRNA""}","{""KIF5B"", ""protein_coding:SLVRNA""}","{""LCOR"", ""protein_coding:SLVRNA""}","{""WDR26"", ""protein_coding:SLVRNA""}","{""CCL4"", ""protein_coding:SLVRNA""}"
,,"{""MGA"", ""protein_coding:SLVRNA""}","{""RBPJ"", ""retained_intron:SLVRNA""}","{""NCBP3"", ""protein_coding:SLVRNA""}","{""GIT2"", ""protein_coding:SLVRNA""}","{""PFKFB2"", ""protein_coding:SLVRNA""}",,"{""MOB3B"", ""protein_coding:SLVRNA""}","{""RP5-857K21.9"", ""unprocessed_pseudogene:SLVRNA""}","{""CTD-2313N18.5"", ""processed_transcript:SLVRNA""}","{""EEF1A1"", ""retained_intron:SLVRNA""}","{""CHCHD2"", ""protein_coding:SLVRNA""}"
,,"{""RP11-182I10.3"", ""retained_intron:SLVRNA""}","{""CD46"", ""processed_transcript:SLVRNA""}","{""SMCHD1"", ""nonsense_mediated_decay:SLVRNA""}","{""KMT2E"", ""protein_coding:SLVRNA""}","{""RNF141"", ""protein_coding:SLVRNA""}",,"{""NPIPB11"", ""protein_coding:SLVRNA""}","{""IBA57"", ""protein_coding:SLVRNA""}","{""CLCN7"", ""retained_intron:SLVRNA""}","{""TNPO1"", ""protein_coding:SLVRNA""}","{""TOMM20"", ""protein_coding:SLVRNA""}"
,,"{""OXSR1"", ""protein_coding:SLVRNA""}","{""EHD1"", ""processed_transcript:SLVRNA""}","{""PITPNA"", ""retained_intron:SLVRNA""}","{""SPRR2G"", ""protein_coding:SLVRNA""}","{""CXCL1"", ""processed_transcript:SLVRNA""}",,"{""SYMPK"", ""retained_intron:SLVRNA""}","{""SNHG16"", ""lincRNA:SLVRNA""}","{""PLEKHG3"", ""protein_coding:SLVRNA""}","{""ARID1A"", ""protein_coding:SLVRNA""}","{""AGO1"", ""protein_coding:SLVRNA""}"
,,"{""FAM8A1"", ""protein_coding:SLVRNA""}","{""NUP153"", ""protein_coding:SLVRNA""}",,"{""SPRR2E"", ""protein_coding:SLVRNA""}","{""MKNK1"", ""protein_coding:SLVRNA""}",,"{""EGR3"", ""protein_coding:SLVRNA""}","{""RAP1GAP2"", ""retained_intron:SLVRNA""}","{""PPP4C"", ""retained_intron:SLVRNA""}","{""SEC23IP"", ""protein_coding:SLVRNA""}","{""PCYT2"", ""protein_coding:SLVRNA""}"
,,"{""CALCOCO1"", ""protein_coding:SLVRNA""}","{""ARHGAP26"", ""processed_transcript:SLVRNA""}",,"{""PI3"", ""protein_coding:SLVRNA""}","{""MYO1F"", ""processed_transcript:SLVRNA""}",,"{""POFUT2"", ""protein_coding:SLVRNA""}","{""ITGAL"", ""retained_intron:SLVRNA""}","{""RAF1"", ""protein_coding:SLVRNA""}","{""FNBP4"", ""protein_coding:SLVRNA""}","{""CPQ"", ""protein_coding:SLVRNA""}"
,,"{""SERPINB2"", ""protein_coding:SLVRNA""}","{""DENND3"", ""processed_transcript:SLVRNA""}",,"{""PITPNA"", ""nonsense_mediated_decay:SLVRNA""}","{""SH3BP1"", ""protein_coding:SLVRNA""}",,"{""PNPLA6"", ""protein_coding:SLVRNA""}",,"{""CD164"", ""protein_coding:SLVRNA""}","{""TMEM248"", ""protein_coding:SLVRNA""}","{""CSDE1"", ""protein_coding:SLVRNA""}"
,,"{""PADI4"", ""protein_coding:SLVRNA""}","{""KRT14"", ""protein_coding:SLVRNA""}",,"{""CSK"", ""retained_intron:SLVRNA""}",,,"{""HIP1"", ""protein_coding:SLVRNA""}",,"{""POLR2J3"", ""protein_coding:SLVRNA""}","{""FOXP4"", ""protein_coding:SLVRNA""}","{""ZRANB2"", ""protein_coding:SLVRNA""}"
,,"{""NFE2"", ""protein_coding:SLVRNA""}","{""DNAJB1"", ""protein_coding:SLVRNA""}",,"{""TMEM173"", ""retained_intron:SLVRNA""}",,,"{""AC144831.1"", ""lincRNA:SLVRNA""}",,"{""BCL3"", ""retained_intron:SLVRNA""}","{""TST"", ""protein_coding:SLVRNA""}","{""RRBP1"", ""protein_coding:SLVRNA""}"
,,"{""ECM1"", ""processed_transcript:SLVRNA""}","{""CRB3"", ""protein_coding:SLVRNA""}",,"{""RNASEL"", ""protein_coding:SLVRNA""}",,,"{""SLC12A6"", ""retained_intron:SLVRNA""}",,"{""HOOK3"", ""protein_coding:SLVRNA""}","{""CTNNB1"", ""protein_coding:SLVRNA""}","{""DSCR3"", ""protein_coding:SLVRNA""}"
,,"{""ALDH3B2"", ""protein_coding:SLVRNA""}","{""OR52K3P"", ""processed_transcript:SLVRNA""}",,"{""CCNY"", ""processed_transcript:SLVRNA""}",,,"{""RND1"", ""retained_intron:SLVRNA""}",,"{""ECHDC3"", ""protein_coding:SLVRNA""}","{""GALNT1"", ""protein_coding:SLVRNA""}","{""RANBP3"", ""protein_coding:SLVRNA""}"
,,"{""AC016747.2"", ""retained_intron:SLVRNA""}","{""FAM111A"", ""protein_coding:SLVRNA""}",,"{""RANGAP1"", ""protein_coding:SLVRNA""}",,,"{""TTLL3"", ""protein_coding:SLVRNA""}",,"{""UBXN11"", ""retained_intron:SLVRNA""}","{""CRYAB"", ""protein_coding:SLVRNA""}","{""DDX3X"", ""nonsense_mediated_decay:SLVRNA""}"
,,"{""EPS8L2"", ""retained_intron:SLVRNA""}","{""UGCG"", ""protein_coding:SLVRNA""}",,"{""PPP1CC"", ""protein_coding:SLVRNA""}",,,"{""GGA3"", ""nonsense_mediated_decay:SLVRNA""}",,"{""RSF1"", ""protein_coding:SLVRNA""}","{""CYB5R3"", ""protein_coding:SLVRNA""}","{""ARHGDIA"", ""retained_intron:SLVRNA""}"
,,"{""RXRB"", ""protein_coding:SLVRNA""}","{""CDKN1C"", ""protein_coding:SLVRNA""}",,"{""WDFY3"", ""protein_coding:SLVRNA""}",,,"{""MIR23A"", ""miRNA:SLVRNA""}",,"{""IFI35"", ""retained_intron:SLVRNA""}","{""TIAM1"", ""protein_coding:SLVRNA""}","{""SLURP1"", ""protein_coding:SLVRNA""}"
,,"{""ERO1A"", ""protein_coding:SLVRNA""}","{""TMBIM4"", ""protein_coding:SLVRNA""}",,"{""TWF1"", ""protein_coding:SLVRNA""}",,,"{""PTK2B"", ""retained_intron:SLVRNA""}",,"{""YY1"", ""protein_coding:SLVRNA""}","{""POLE"", ""retained_intron:SLVRNA""}","{""PART1"", ""lincRNA:SLVRNA""}"
,,"{""CCNJL"", ""protein_coding:SLVRNA""}","{""NT5C2"", ""processed_transcript:SLVRNA""}",,"{""ZNF143"", ""protein_coding:SLVRNA""}",,,"{""MYO9B"", ""retained_intron:SLVRNA""}",,"{""SPACA6"", ""retained_intron:SLVRNA""}","{""FCHSD2"", ""protein_coding:SLVRNA""}","{""MYO1F"", ""retained_intron:SLVRNA""}"
,,"{""GLUL"", ""processed_transcript:SLVRNA""}","{""MT1G"", ""protein_coding:SLVRNA""}",,"{""DTX3L"", ""protein_coding:SLVRNA""}",,,"{""PTPN1"", ""protein_coding:SLVRNA""}",,,"{""SFPQ"", ""processed_transcript:SLVRNA""}","{""USP15"", ""protein_coding:SLVRNA""}"
,,"{""PPP1R3C"", ""protein_coding:SLVRNA""}","{""RAF1"", ""retained_intron:SLVRNA""}",,"{""TAP1"", ""retained_intron:SLVRNA""}",,,"{""ING1"", ""protein_coding:SLVRNA""}",,,"{""BRD3"", ""protein_coding:SLVRNA""}","{""SCN1B"", ""protein_coding:SLVRNA""}"
,,"{""HLA-E"", ""retained_intron:SLVRNA""}","{""S100A14"", ""protein_coding:SLVRNA""}",,"{""FLII"", ""retained_intron:SLVRNA""}",,,"{""WDR1"", ""protein_coding:SLVRNA""}",,,"{""HSPA13"", ""protein_coding:SLVRNA""}","{""NCF2"", ""protein_coding:SLVRNA""}"
,,"{""RP11-93B14.9"", ""antisense:SLVRNA""}","{""PDCD6"", ""protein_coding:SLVRNA""}",,"{""DIDO1"", ""protein_coding:SLVRNA""}",,,"{""PGD"", ""protein_coding:SLVRNA""}",,,"{""PTPN2"", ""protein_coding:SLVRNA""}","{""HPS5"", ""protein_coding:SLVRNA""}"
,,"{""RMND5B"", ""protein_coding:SLVRNA""}","{""FBXO18"", ""protein_coding:SLVRNA""}",,,,,"{""MXD1"", ""nonsense_mediated_decay:SLVRNA""}",,,"{""MYO1C"", ""protein_coding:SLVRNA""}","{""ATP2A3"", ""retained_intron:SLVRNA""}"
,,"{""RHCG"", ""nonsense_mediated_decay:SLVRNA""}","{""RNPS1"", ""retained_intron:SLVRNA""}",,,,,"{""MGAT4A"", ""protein_coding:SLVRNA""}",,,"{""FKBP1A"", ""protein_coding:SLVRNA""}","{""LTN1"", ""protein_coding:SLVRNA""}"
,,"{""SPTAN1"", ""retained_intron:SLVRNA""}","{""WASL"", ""protein_coding:SLVRNA""}",,,,,"{""NFKB2"", ""processed_transcript:SLVRNA""}",,,"{""DDX60L"", ""protein_coding:SLVRNA""}","{""CASC3"", ""protein_coding:SLVRNA""}"
,,"{""TBC1D10C"", ""protein_coding:SLVRNA""}","{""ZC3H18"", ""protein_coding:SLVRNA""}",,,,,"{""PPP6R3"", ""protein_coding:SLVRNA""}",,,"{""ERLIN2"", ""protein_coding:SLVRNA""}","{""PHKG2"", ""retained_intron:SLVRNA""}"
,,"{""SEC24C"", ""protein_coding:SLVRNA""}","{""CCNT1"", ""protein_coding:SLVRNA""}",,,,,"{""UBAP2L"", ""protein_coding:SLVRNA""}",,,,"{""HLX"", ""protein_coding:SLVRNA""}"
,,"{""PACS1"", ""retained_intron:SLVRNA""}","{""SLC39A13"", ""protein_coding:SLVRNA""}",,,,,"{""MAP7D1"", ""processed_transcript:SLVRNA""}",,,,"{""TATDN2"", ""protein_coding:SLVRNA""}"
,,"{""SLC39A1"", ""protein_coding:SLVRNA""}","{""FAM49A"", ""protein_coding:SLVRNA""}",,,,,"{""GPR157"", ""protein_coding:SLVRNA""}",,,,"{""PAN3"", ""protein_coding:SLVRNA""}"
,,"{""SF3B1"", ""retained_intron:SLVRNA""}","{""HP1BP3"", ""protein_coding:SLVRNA""}",,,,,"{""DDX1"", ""protein_coding:SLVRNA""}",,,,"{""CAMKK2"", ""protein_coding:SLVRNA""}"
,,"{""FBXW11"", ""protein_coding:SLVRNA""}","{""SLC44A1"", ""protein_coding:SLVRNA""}",,,,,"{""CRYM"", ""protein_coding:SLVRNA""}",,,,"{""PUM1"", ""protein_coding:SLVRNA""}"
,,"{""MKNK1"", ""processed_transcript:SLVRNA""}","{""UACA"", ""protein_coding:SLVRNA""}",,,,,"{""CDKN1A"", ""protein_coding:SLVRNA""}",,,,"{""SUDS3"", ""protein_coding:SLVRNA""}"
,,"{""FUCA1"", ""protein_coding:SLVRNA""}","{""PRDM8"", ""protein_coding:SLVRNA""}",,,,,"{""BAIAP2"", ""retained_intron:SLVRNA""}",,,,"{""RBM25"", ""protein_coding:SLVRNA""}"
,,"{""CLEC7A"", ""retained_intron:SLVRNA""}","{""IL1R2"", ""protein_coding:SLVRNA""}",,,,,"{""MTF1"", ""protein_coding:SLVRNA""}",,,,"{""S100P"", ""protein_coding:SLVRNA""}"
,,"{""HSP90AB1"", ""protein_coding:SLVRNA""}","{""C11orf68"", ""protein_coding:SLVRNA""}",,,,,"{""BAK1"", ""protein_coding:SLVRNA""}",,,,"{""RND3"", ""protein_coding:SLVRNA""}"
,,"{""VPS37B"", ""protein_coding:SLVRNA""}","{""ZNF431"", ""protein_coding:SLVRNA""}",,,,,"{""TMEM184B"", ""protein_coding:SLVRNA""}",,,,"{""LCN2"", ""protein_coding:SLVRNA""}"
,,"{""GUK1"", ""processed_transcript:SLVRNA""}","{""SYNE2"", ""protein_coding:SLVRNA""}",,,,,"{""NDRG3"", ""protein_coding:SLVRNA""}",,,,"{""MAPKAP1"", ""protein_coding:SLVRNA""}"
,,"{""RALGDS"", ""retained_intron:SLVRNA""}","{""OSBPL9"", ""protein_coding:SLVRNA""}",,,,,"{""CDC42EP2"", ""protein_coding:SLVRNA""}",,,,"{""CYFIP1"", ""protein_coding:SLVRNA""}"
,,"{""SERINC5"", ""protein_coding:SLVRNA""}","{""KIAA1147"", ""protein_coding:SLVRNA""}",,,,,"{""CHI3L1"", ""protein_coding:SLVRNA""}",,,,"{""MANSC1"", ""protein_coding:SLVRNA""}"
,,"{""C18orf25"", ""protein_coding:SLVRNA""}","{""TMED7"", ""protein_coding:SLVRNA""}",,,,,"{""ZNF117"", ""protein_coding:SLVRNA""}",,,,"{""DAB2"", ""protein_coding:SLVRNA""}"
,,"{""MAP3K9"", ""protein_coding:SLVRNA""}","{""SORT1"", ""protein_coding:SLVRNA""}",,,,,"{""ACAD8"", ""retained_intron:SLVRNA""}",,,,"{""RB1CC1"", ""protein_coding:SLVRNA""}"
,,"{""KLC1"", ""protein_coding:SLVRNA""}","{""DCP1A"", ""protein_coding:SLVRNA""}",,,,,"{""GAK"", ""protein_coding:SLVRNA""}",,,,"{""UBA7"", ""retained_intron:SLVRNA""}"
,,"{""SQSTM1"", ""protein_coding:SLVRNA""}","{""ANKRD52"", ""protein_coding:SLVRNA""}",,,,,"{""MAML1"", ""protein_coding:SLVRNA""}",,,,"{""CWC25"", ""protein_coding:SLVRNA""}"
,,"{""RPL4"", ""protein_coding:SLVRNA""}","{""DDX46"", ""protein_coding:SLVRNA""}",,,,,"{""GTF2IP18"", ""processed_transcript:SLVRNA""}",,,,"{""PITPNC1"", ""protein_coding:SLVRNA""}"
,,"{""GPRC5A"", ""retained_intron:SLVRNA""}","{""CTBP1"", ""protein_coding:SLVRNA""}",,,,,"{""DENND5A"", ""retained_intron:SLVRNA""}",,,,
,,"{""C14orf159"", ""protein_coding:SLVRNA""}","{""STIP1"", ""protein_coding:SLVRNA""}",,,,,"{""VPS8"", ""retained_intron:SLVRNA""}",,,,
,,"{""PRSS8"", ""protein_coding:SLVRNA""}","{""ARNTL2"", ""protein_coding:SLVRNA""}",,,,,"{""NR4A1"", ""protein_coding:SLVRNA""}",,,,
,,"{""TMPRSS11B"", ""retained_intron:SLVRNA""}","{""ATXN2L"", ""protein_coding:SLVRNA""}",,,,,"{""CHST2"", ""protein_coding:SLVRNA""}",,,,
,,"{""CTBP2"", ""protein_coding:SLVRNA""}","{""STK35"", ""protein_coding:SLVRNA""}",,,,,"{""MKNK2"", ""protein_coding:SLVRNA""}",,,,
,,"{""DOPEY2"", ""protein_coding:SLVRNA""}","{""IL18"", ""retained_intron:SLVRNA""}",,,,,"{""ZNF276"", ""nonsense_mediated_decay:SLVRNA""}",,,,
,,"{""HSPA1B"", ""protein_coding:SLVRNA""}","{""ATG16L2"", ""nonsense_mediated_decay:SLVRNA""}",,,,,"{""RBL2"", ""processed_transcript:SLVRNA""}",,,,
,,"{""PRSS22"", ""retained_intron:SLVRNA""}","{""HCAR2"", ""protein_coding:SLVRNA""}",,,,,"{""GMIP"", ""protein_coding:SLVRNA""}",,,,
,,"{""HDAC7"", ""protein_coding:SLVRNA""}","{""CYCS"", ""protein_coding:SLVRNA""}",,,,,"{""SLC16A3"", ""protein_coding:SLVRNA""}",,,,
,,"{""TSNAX"", ""protein_coding:SLVRNA""}","{""PHF12"", ""protein_coding:SLVRNA""}",,,,,"{""SETD1B"", ""protein_coding:SLVRNA""}",,,,
,,"{""APAF1"", ""protein_coding:SLVRNA""}","{""ANKRD27"", ""protein_coding:SLVRNA""}",,,,,"{""FOS"", ""processed_transcript:SLVRNA""}",,,,
,,"{""RP11-463O12.5"", ""TEC:SLVRNA""}","{""SLC35A4"", ""protein_coding:SLVRNA""}",,,,,"{""IL6R"", ""protein_coding:SLVRNA""}",,,,
,,"{""RDH10"", ""protein_coding:SLVRNA""}","{""KIF21A"", ""protein_coding:SLVRNA""}",,,,,"{""MVP"", ""protein_coding:SLVRNA""}",,,,
,,"{""VASN"", ""protein_coding:SLVRNA""}","{""XPO6"", ""protein_coding:SLVRNA""}",,,,,"{""WWC3"", ""protein_coding:SLVRNA""}",,,,
,,"{""LCN2"", ""retained_intron:SLVRNA""}","{""ATP5A1"", ""retained_intron:SLVRNA""}",,,,,"{""NCF1B"", ""processed_transcript:SLVRNA""}",,,,
,,"{""KRT15"", ""protein_coding:SLVRNA""}","{""LACTB"", ""protein_coding:SLVRNA""}",,,,,"{""PRKD3"", ""protein_coding:SLVRNA""}",,,,
,,"{""PITX1"", ""protein_coding:SLVRNA""}","{""VWA1"", ""protein_coding:SLVRNA""}",,,,,"{""LAMTOR5"", ""protein_coding:SLVRNA""}",,,,
,,"{""NCCRP1"", ""protein_coding:SLVRNA""}","{""S100A8"", ""processed_transcript:SLVRNA""}",,,,,"{""EPN1"", ""protein_coding:SLVRNA""}",,,,
,,"{""RHCG"", ""protein_coding:SLVRNA""}","{""DAPK2"", ""protein_coding:SLVRNA""}",,,,,"{""PCNX3"", ""retained_intron:SLVRNA""}",,,,
,,"{""ELF3"", ""protein_coding:SLVRNA""}","{""B2M"", ""retained_intron:SLVRNA""}",,,,,"{""SRSF3"", ""protein_coding:SLVRNA""}",,,,
,,"{""ATG9B"", ""protein_coding:SLVRNA""}","{""GNAQ"", ""protein_coding:SLVRNA""}",,,,,"{""GRN"", ""protein_coding:SLVRNA""}",,,,
,,"{""FAM83A"", ""protein_coding:SLVRNA""}","{""CXCL17"", ""protein_coding:SLVRNA""}",,,,,"{""GCA"", ""retained_intron:SLVRNA""}",,,,
,,"{""MLLT6"", ""retained_intron:SLVRNA""}","{""AL844908.5"", ""antisense:SLVRNA""}",,,,,"{""LRAT"", ""protein_coding:SLVRNA""}",,,,
,,"{""SPNS2"", ""protein_coding:SLVRNA""}","{""DUSP4"", ""protein_coding:SLVRNA""}",,,,,"{""FMR1"", ""retained_intron:SLVRNA""}",,,,
,,"{""ARHGAP27"", ""protein_coding:SLVRNA""}","{""SRSF7"", ""nonsense_mediated_decay:SLVRNA""}",,,,,"{""STAG2"", ""processed_transcript:SLVRNA""}",,,,
,,"{""ADIPOR2"", ""protein_coding:SLVRNA""}","{""SLC23A2"", ""protein_coding:SLVRNA""}",,,,,"{""AC096655.2"", ""lincRNA:SLVRNA""}",,,,
,,"{""PADI1"", ""protein_coding:SLVRNA""}","{""RFX2"", ""protein_coding:SLVRNA""}",,,,,"{""CELF4"", ""protein_coding:SLVRNA""}",,,,
,,"{""FUT6"", ""protein_coding:SLVRNA""}","{""CREBBP"", ""protein_coding:SLVRNA""}",,,,,"{""EMX2"", ""protein_coding:SLVRNA""}",,,,
,,"{""PSCA"", ""protein_coding:SLVRNA""}","{""NEDD8"", ""processed_transcript:SLVRNA""}",,,,,"{""LRTM1"", ""protein_coding:SLVRNA""}",,,,
,,"{""KRT19"", ""protein_coding:SLVRNA""}","{""CD58"", ""protein_coding:SLVRNA""}",,,,,"{""KBTBD6"", ""protein_coding:SLVRNA""}",,,,
,,"{""MUC21"", ""protein_coding:SLVRNA""}","{""PDGFA"", ""protein_coding:SLVRNA""}",,,,,"{""MSX1"", ""protein_coding:SLVRNA""}",,,,
,,"{""SLK"", ""protein_coding:SLVRNA""}",,,,,,"{""LPAR4"", ""processed_transcript:SLVRNA""}",,,,
,,"{""C4orf26"", ""protein_coding:SLVRNA""}",,,,,,"{""RP11-724N1.1"", ""lincRNA:SLVRNA""}",,,,
,,"{""SESN2"", ""protein_coding:SLVRNA""}",,,,,,"{""EBF1"", ""processed_transcript:SLVRNA""}",,,,
,,"{""DUSP5"", ""protein_coding:SLVRNA""}",,,,,,"{""EBF1"", ""protein_coding:SLVRNA""}",,,,
,,"{""PRSS27"", ""protein_coding:SLVRNA""}",,,,,,"{""RP11-96D1.10"", ""sense_overlapping:SLVRNA""}",,,,
,,"{""CCDC56"", ""protein_coding:SLVRNA""}",,,,,,"{""GABBR2"", ""protein_coding:SLVRNA""}",,,,
,,"{""MAPK8IP3"", ""protein_coding:SLVRNA""}",,,,,,"{""ATP8A2"", ""protein_coding:SLVRNA""}",,,,
,,"{""GTF3C5"", ""protein_coding:SLVRNA""}",,,,,,"{""ZBTB20"", ""protein_coding:SLVRNA""}",,,,
,,"{""RCOR1"", ""protein_coding:SLVRNA""}",,,,,,"{""LAMP2"", ""protein_coding:SLVRNA""}",,,,
,,"{""SLC25A37"", ""retained_intron:SLVRNA""}",,,,,,"{""LDHA"", ""protein_coding:SLVRNA""}",,,,
,,"{""MBOAT7"", ""protein_coding:SLVRNA""}",,,,,,"{""BOD1L1"", ""protein_coding:SLVRNA""}",,,,
,,"{""AMDHD2"", ""retained_intron:SLVRNA""}",,,,,,"{""TMPRSS11D"", ""protein_coding:SLVRNA""}",,,,
,,"{""LPIN1"", ""protein_coding:SLVRNA""}",,,,,,"{""GBP1"", ""processed_transcript:SLVRNA""}",,,,
,,"{""ARHGAP17"", ""retained_intron:SLVRNA""}",,,,,,"{""ETNK1"", ""protein_coding:SLVRNA""}",,,,
