SpikeMax,SpikeMin,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Lag8,Lag9,Lag10,Lag11
,,"{""SLC6A6"", ""nonsense_mediated_decay:SLVRNA""}","{""CORO1C"", ""protein_coding:SLVRNA""}","{""IL36RN"", ""protein_coding:SLVRNA""}","{""G6PD"", ""retained_intron:SLVRNA""}","{""PRAM1"", ""retained_intron:SLVRNA""}","{""SPHK1"", ""protein_coding:SLVRNA""}","{""GPSM3"", ""protein_coding:SLVRNA""}","{""KMT2D"", ""protein_coding:SLVRNA""}","{""FLI1"", ""nonsense_mediated_decay:SLVRNA""}","{""COX7B"", ""processed_transcript:SLVRNA""}","{""TNFAIP8L1"", ""protein_coding:SLVRNA""}"
,,"{""CHI3L1"", ""retained_intron:SLVRNA""}","{""ACTR3"", ""retained_intron:SLVRNA""}","{""TFE3"", ""nonsense_mediated_decay:SLVRNA""}","{""PA2G4"", ""protein_coding:SLVRNA""}","{""UNC13D"", ""retained_intron:SLVRNA""}","{""FCHSD1"", ""protein_coding:SLVRNA""}","{""IDO1"", ""protein_coding:SLVRNA""}","{""ICOSLG"", ""protein_coding:SLVRNA""}","{""TBC1D10B"", ""protein_coding:SLVRNA""}","{""LLGL2"", ""protein_coding:SLVRNA""}","{""ERP29"", ""protein_coding:SLVRNA""}"
,,"{""DAZAP1"", ""retained_intron:SLVRNA""}","{""ZMYM2"", ""protein_coding:SLVRNA""}","{""ATRN"", ""protein_coding:SLVRNA""}","{""TTC39B"", ""protein_coding:SLVRNA""}","{""RPS6KA1"", ""protein_coding:SLVRNA""}","{""TACC2"", ""protein_coding:SLVRNA""}","{""IL18R1"", ""protein_coding:SLVRNA""}","{""HNRNPAB"", ""protein_coding:SLVRNA""}","{""PIP4K2C"", ""protein_coding:SLVRNA""}","{""KDM4B"", ""protein_coding:SLVRNA""}","{""CTTNBP2NL"", ""protein_coding:SLVRNA""}"
,,"{""MARK2"", ""protein_coding:SLVRNA""}","{""FGFR1OP"", ""protein_coding:SLVRNA""}","{""BTN3A2"", ""protein_coding:SLVRNA""}","{""DIAPH1"", ""protein_coding:SLVRNA""}","{""UBE3B"", ""protein_coding:SLVRNA""}","{""CSNK2A2"", ""protein_coding:SLVRNA""}","{""BCL2L1"", ""protein_coding:SLVRNA""}","{""ITGB1"", ""protein_coding:SLVRNA""}","{""ZNF24"", ""protein_coding:SLVRNA""}","{""TNIP1"", ""processed_transcript:SLVRNA""}","{""CBWD1"", ""retained_intron:SLVRNA""}"
,,"{""ALDH1A3"", ""protein_coding:SLVRNA""}","{""EVI2A"", ""protein_coding:SLVRNA""}","{""PPM1F"", ""protein_coding:SLVRNA""}","{""NDFIP2"", ""protein_coding:SLVRNA""}","{""DUSP10"", ""protein_coding:SLVRNA""}","{""CTD-2649C14.2"", ""lincRNA:SLVRNA""}","{""SEMA4B"", ""retained_intron:SLVRNA""}","{""CCDC93"", ""protein_coding:SLVRNA""}","{""SCO2"", ""protein_coding:SLVRNA""}","{""FAM32A"", ""protein_coding:SLVRNA""}","{""TUBGCP4"", ""retained_intron:SLVRNA""}"
,,"{""WDR1"", ""processed_transcript:SLVRNA""}","{""MID1IP1"", ""protein_coding:SLVRNA""}","{""COL4A3BP"", ""protein_coding:SLVRNA""}","{""CNFN"", ""protein_coding:SLVRNA""}","{""HNRNPK"", ""retained_intron:SLVRNA""}","{""YWHAZ"", ""protein_coding:SLVRNA""}","{""GSDMD"", ""retained_intron:SLVRNA""}","{""INIP"", ""protein_coding:SLVRNA""}","{""CARS"", ""protein_coding:SLVRNA""}","{""HNRNPH1"", ""protein_coding:SLVRNA""}","{""OTULIN"", ""protein_coding:SLVRNA""}"
,,"{""UBC"", ""protein_coding:SLVRNA""}","{""PDXK"", ""protein_coding:SLVRNA""}","{""ZNF700"", ""protein_coding:SLVRNA""}","{""SPRR2D"", ""protein_coding:SLVRNA""}","{""C15orf52"", ""protein_coding:SLVRNA""}","{""ETS1"", ""protein_coding:SLVRNA""}","{""ZNF467"", ""protein_coding:SLVRNA""}","{""NSD1"", ""protein_coding:SLVRNA""}","{""ATF2"", ""protein_coding:SLVRNA""}","{""BCLAF1"", ""nonsense_mediated_decay:SLVRNA""}","{""SGPL1"", ""protein_coding:SLVRNA""}"
,,"{""CAST"", ""protein_coding:SLVRNA""}","{""NUP155"", ""protein_coding:SLVRNA""}","{""FXR2"", ""protein_coding:SLVRNA""}","{""HEPHL1"", ""protein_coding:SLVRNA""}","{""GRHL1"", ""protein_coding:SLVRNA""}","{""PPP2R4"", ""protein_coding:SLVRNA""}","{""AC005154.6"", ""retained_intron:SLVRNA""}","{""RPL13A"", ""protein_coding:SLVRNA""}","{""TSSC4"", ""protein_coding:SLVRNA""}","{""PABPN1"", ""protein_coding:SLVRNA""}","{""RABGAP1"", ""protein_coding:SLVRNA""}"
,,"{""TMPRSS4"", ""protein_coding:SLVRNA""}","{""TNRC6B"", ""protein_coding:SLVRNA""}","{""BAP1"", ""retained_intron:SLVRNA""}","{""HMGN1"", ""protein_coding:SLVRNA""}","{""AFF1"", ""protein_coding:SLVRNA""}","{""HDLBP"", ""retained_intron:SLVRNA""}","{""HDAC3"", ""retained_intron:SLVRNA""}","{""ZNF766"", ""protein_coding:SLVRNA""}","{""EPRS"", ""protein_coding:SLVRNA""}","{""ORAI2"", ""protein_coding:SLVRNA""}","{""PSMB9"", ""protein_coding:SLVRNA""}"
,,"{""SH3BP5L"", ""protein_coding:SLVRNA""}","{""CD82"", ""protein_coding:SLVRNA""}","{""CCDC186"", ""protein_coding:SLVRNA""}","{""BPIFA2"", ""protein_coding:SLVRNA""}","{""LGALS9"", ""retained_intron:SLVRNA""}","{""OGDH"", ""protein_coding:SLVRNA""}","{""TRAF3IP3"", ""retained_intron:SLVRNA""}","{""NECAP1"", ""retained_intron:SLVRNA""}","{""SLC12A9"", ""protein_coding:SLVRNA""}","{""PRPF8"", ""retained_intron:SLVRNA""}","{""PLEK"", ""protein_coding:SLVRNA""}"
