SpikeMax,SpikeMin,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Lag8,Lag9,Lag10,Lag11,Lag12,Lag13,Lag14,Lag15,Lag16
,"{""KRT16"", ""protein_coding:SLVRNA""}","{""ARHGDIA"", ""protein_coding:SLVRNA""}","{""GS1-124K5.14"", ""processed_transcript:SLVRNA""}","{""RIN3"", ""processed_transcript:SLVRNA""}","{""EFCAB4A"", ""protein_coding:SLVRNA""}","{""PRAF2"", ""protein_coding:SLVRNA""}","{""NT5C2"", ""processed_transcript:SLVRNA""}","{""PSMB7"", ""protein_coding:SLVRNA""}","{""MGAT5"", ""protein_coding:SLVRNA""}","{""FRMD6"", ""protein_coding:SLVRNA""}","{""C4orf3"", ""protein_coding:SLVRNA""}","{""RP11-268J15.5"", ""antisense:SLVRNA""}","{""HAS1"", ""protein_coding:SLVRNA""}","{""S100PBP"", ""processed_transcript:SLVRNA""}","{""OSGIN2"", ""protein_coding:SLVRNA""}","{""PLS3"", ""protein_coding:SLVRNA""}","{""INPP5F"", ""protein_coding:SLVRNA""}"
,"{""KRT6A"", ""protein_coding:SLVRNA""}","{""MYEOV"", ""protein_coding:SLVRNA""}","{""CARS2"", ""retained_intron:SLVRNA""}","{""LYPLA1"", ""processed_transcript:SLVRNA""}","{""IP6K1"", ""protein_coding:SLVRNA""}","{""RAB5A"", ""protein_coding:SLVRNA""}","{""H1FX"", ""protein_coding:SLVRNA""}","{""JAGN1"", ""protein_coding:SLVRNA""}","{""RASA2"", ""processed_transcript:SLVRNA""}","{""VTA1"", ""protein_coding:SLVRNA""}","{""RAD54L2"", ""protein_coding:SLVRNA""}","{""TUBGCP2"", ""protein_coding:SLVRNA""}","{""PIP5K1A"", ""protein_coding:SLVRNA""}","{""PSMD8"", ""protein_coding:SLVRNA""}","{""RP11-262H14.1"", ""lincRNA:SLVRNA""}","{""ERO1A"", ""nonsense_mediated_decay:SLVRNA""}","{""DNAH1"", ""retained_intron:SLVRNA""}"
,"{""IL36A"", ""protein_coding:SLVRNA""}","{""PPL"", ""protein_coding:SLVRNA""}","{""ARHGEF2"", ""protein_coding:SLVRNA""}","{""MICAL2"", ""retained_intron:SLVRNA""}","{""PARP9"", ""protein_coding:SLVRNA""}","{""AMPD3"", ""processed_transcript:SLVRNA""}","{""ARHGEF12"", ""retained_intron:SLVRNA""}","{""RNF4"", ""protein_coding:SLVRNA""}","{""PLAG1"", ""protein_coding:SLVRNA""}","{""STT3B"", ""protein_coding:SLVRNA""}","{""SAMHD1"", ""protein_coding:SLVRNA""}","{""ARHGAP27"", ""retained_intron:SLVRNA""}","{""ZNF316"", ""protein_coding:SLVRNA""}","{""NUDT22"", ""retained_intron:SLVRNA""}","{""ADAT1"", ""protein_coding:SLVRNA""}","{""LAMA5"", ""retained_intron:SLVRNA""}","{""CD36"", ""retained_intron:SLVRNA""}"
,"{""PDLIM2"", ""protein_coding:SLVRNA""}","{""KRT4"", ""protein_coding:SLVRNA""}","{""SBF1"", ""protein_coding:SLVRNA""}","{""SLC12A6"", ""nonsense_mediated_decay:SLVRNA""}","{""NPC1"", ""processed_transcript:SLVRNA""}","{""NDUFA9"", ""protein_coding:SLVRNA""}","{""LCMT2"", ""protein_coding:SLVRNA""}","{""ARF1"", ""protein_coding:SLVRNA""}","{""PPP6R2"", ""retained_intron:SLVRNA""}","{""CHD4"", ""retained_intron:SLVRNA""}","{""CYBA"", ""processed_transcript:SLVRNA""}","{""RUNX1"", ""protein_coding:SLVRNA""}","{""HYPK"", ""protein_coding:SLVRNA""}","{""FEM1A"", ""protein_coding:SLVRNA""}","{""CMTR1"", ""protein_coding:SLVRNA""}","{""HPS5"", ""protein_coding:SLVRNA""}","{""PSMB5"", ""protein_coding:SLVRNA""}"
,"{""USP6NL"", ""protein_coding:SLVRNA""}","{""FAM129B"", ""protein_coding:SLVRNA""}","{""ZC3H18"", ""retained_intron:SLVRNA""}","{""SLC12A9"", ""protein_coding:SLVRNA""}","{""NUDCD3"", ""processed_transcript:SLVRNA""}","{""LNX1"", ""protein_coding:SLVRNA""}","{""FAM184B"", ""protein_coding:SLVRNA""}","{""HBEGF"", ""protein_coding:SLVRNA""}","{""NKX3-1"", ""protein_coding:SLVRNA""}","{""KDM3A"", ""retained_intron:SLVRNA""}","{""SLC12A6"", ""retained_intron:SLVRNA""}","{""ARFGAP3"", ""protein_coding:SLVRNA""}","{""CXCL6"", ""protein_coding:SLVRNA""}","{""HK3"", ""retained_intron:SLVRNA""}","{""BEAN1"", ""protein_coding:SLVRNA""}","{""SPTBN2"", ""protein_coding:SLVRNA""}","{""ZFYVE26"", ""protein_coding:SLVRNA""}"
,"{""KLK12"", ""protein_coding:SLVRNA""}","{""SGK1"", ""retained_intron:SLVRNA""}","{""PLCB2"", ""retained_intron:SLVRNA""}","{""TRIO"", ""protein_coding:SLVRNA""}","{""SIRT7"", ""retained_intron:SLVRNA""}","{""CCDC125"", ""protein_coding:SLVRNA""}","{""CAMK2B"", ""protein_coding:SLVRNA""}","{""CDC34"", ""retained_intron:SLVRNA""}","{""NUPR1"", ""protein_coding:SLVRNA""}","{""LPIN1"", ""processed_transcript:SLVRNA""}","{""PPP1R35"", ""retained_intron:SLVRNA""}","{""CLPP"", ""protein_coding:SLVRNA""}","{""CST1"", ""protein_coding:SLVRNA""}","{""ZNF480"", ""protein_coding:SLVRNA""}","{""RTTN"", ""retained_intron:SLVRNA""}","{""ARHGEF7"", ""protein_coding:SLVRNA""}","{""TOR4A"", ""protein_coding:SLVRNA""}"
,"{""VAT1"", ""protein_coding:SLVRNA""}","{""DDX5"", ""protein_coding:SLVRNA""}","{""CDC40"", ""protein_coding:SLVRNA""}","{""ALOX5"", ""processed_transcript:SLVRNA""}","{""C14orf159"", ""nonsense_mediated_decay:SLVRNA""}","{""CTSS"", ""protein_coding:SLVRNA""}","{""EMCN"", ""protein_coding:SLVRNA""}","{""VOPP1"", ""protein_coding:SLVRNA""}","{""RBMS1"", ""protein_coding:SLVRNA""}","{""SLC15A3"", ""protein_coding:SLVRNA""}","{""HLX"", ""retained_intron:SLVRNA""}","{""MAN2B2"", ""protein_coding:SLVRNA""}","{""CELF2"", ""nonsense_mediated_decay:SLVRNA""}","{""CGN"", ""retained_intron:SLVRNA""}","{""CCDC141"", ""protein_coding:SLVRNA""}","{""COPS7B"", ""nonsense_mediated_decay:SLVRNA""}","{""PIP5K1C"", ""protein_coding:SLVRNA""}"
,"{""EVPL"", ""protein_coding:SLVRNA""}","{""CTD-3088G3.8"", ""retained_intron:SLVRNA""}","{""RP11-291L22.9"", ""processed_transcript:SLVRNA""}","{""PTGS2"", ""processed_transcript:SLVRNA""}","{""MARCKSL1"", ""protein_coding:SLVRNA""}","{""S100A12"", ""protein_coding:SLVRNA""}","{""CELF4"", ""protein_coding:SLVRNA""}","{""RPS27A"", ""protein_coding:SLVRNA""}","{""YKT6"", ""protein_coding:SLVRNA""}","{""LYPLA2"", ""protein_coding:SLVRNA""}","{""PELI2"", ""protein_coding:SLVRNA""}","{""BMPR2"", ""protein_coding:SLVRNA""}","{""SPG11"", ""protein_coding:SLVRNA""}","{""ZNF462"", ""protein_coding:SLVRNA""}","{""OR10K1"", ""protein_coding:SLVRNA""}","{""MED13L"", ""protein_coding:SLVRNA""}","{""RGL1"", ""protein_coding:SLVRNA""}"
,"{""RP13-104F24.2"", ""processed_transcript:SLVRNA""}","{""RBPJ"", ""protein_coding:SLVRNA""}","{""ACTR10"", ""retained_intron:SLVRNA""}","{""PPP2CB"", ""protein_coding:SLVRNA""}","{""CCDC56"", ""protein_coding:SLVRNA""}","{""CALM1"", ""protein_coding:SLVRNA""}","{""GPM6A"", ""protein_coding:SLVRNA""}","{""ZFP36L2"", ""protein_coding:SLVRNA""}","{""CALD1"", ""retained_intron:SLVRNA""}","{""TRIM39"", ""protein_coding:SLVRNA""}","{""MSRB2"", ""protein_coding:SLVRNA""}","{""ATP6V1C1"", ""protein_coding:SLVRNA""}","{""ZKSCAN8"", ""protein_coding:SLVRNA""}","{""TAOK1"", ""retained_intron:SLVRNA""}","{""HSPG2"", ""retained_intron:SLVRNA""}","{""TBC1D2"", ""protein_coding:SLVRNA""}","{""YIPF2"", ""protein_coding:SLVRNA""}"
,"{""TST"", ""protein_coding:SLVRNA""}","{""H2AFY"", ""protein_coding:SLVRNA""}","{""CAPS"", ""protein_coding:SLVRNA""}","{""N4BP1"", ""protein_coding:SLVRNA""}","{""EIF4EBP3"", ""protein_coding:SLVRNA""}","{""MAP2K1"", ""protein_coding:SLVRNA""}","{""RPS6KA6"", ""protein_coding:SLVRNA""}","{""PRKCSH"", ""nonsense_mediated_decay:SLVRNA""}","{""OSCAR"", ""protein_coding:SLVRNA""}","{""WDFY3"", ""protein_coding:SLVRNA""}","{""SNX12"", ""protein_coding:SLVRNA""}","{""FBXL20"", ""protein_coding:SLVRNA""}","{""CHERP"", ""retained_intron:SLVRNA""}","{""KCNK1"", ""protein_coding:SLVRNA""}","{""MRC2"", ""retained_intron:SLVRNA""}","{""ERP44"", ""protein_coding:SLVRNA""}","{""C19orf59"", ""retained_intron:SLVRNA""}"
