SpikeMax,SpikeMin,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Lag8,Lag9,Lag10,Lag11,Lag12,Lag13,Lag14,Lag15,Lag16
,"{""DAD1"", ""protein_coding:SLVRNA""}","{""PTPRC"", ""protein_coding:SLVRNA""}","{""RHOC"", ""protein_coding:SLVRNA""}","{""TCF25"", ""protein_coding:SLVRNA""}","{""LINC-PINT"", ""lincRNA:SLVRNA""}","{""ARPC5"", ""retained_intron:SLVRNA""}",,"{""RCOR1"", ""protein_coding:SLVRNA""}",,,,"{""IL13RA1"", ""protein_coding:SLVRNA""}",,,,,
,"{""UBL3"", ""protein_coding:SLVRNA""}","{""KCTD3"", ""protein_coding:SLVRNA""}","{""LSM14A"", ""protein_coding:SLVRNA""}","{""RP11-20I23.2"", ""TEC:SLVRNA""}","{""SSR2"", ""protein_coding:SLVRNA""}","{""ZNF397"", ""protein_coding:SLVRNA""}",,"{""RP11-351J23.1"", ""lincRNA:SLVRNA""}",,,,"{""HMGN2"", ""protein_coding:SLVRNA""}",,,,,
,"{""MT1E"", ""protein_coding:SLVRNA""}","{""FMNL1"", ""retained_intron:SLVRNA""}","{""GTPBP2"", ""protein_coding:SLVRNA""}","{""AKT1"", ""protein_coding:SLVRNA""}","{""ST20"", ""protein_coding:SLVRNA""}","{""KLF3"", ""protein_coding:SLVRNA""}",,"{""UPP1"", ""nonsense_mediated_decay:SLVRNA""}",,,,"{""SERPINB1"", ""protein_coding:SLVRNA""}",,,,,
,"{""GNL3"", ""protein_coding:SLVRNA""}","{""WSB1"", ""retained_intron:SLVRNA""}","{""UQCRQ"", ""protein_coding:SLVRNA""}","{""TTLL3"", ""nonsense_mediated_decay:SLVRNA""}","{""ZER1"", ""protein_coding:SLVRNA""}","{""RPS2"", ""protein_coding:SLVRNA""}",,"{""RAB8B"", ""protein_coding:SLVRNA""}",,,,"{""GNAI2"", ""protein_coding:SLVRNA""}",,,,,
,"{""HN1"", ""protein_coding:SLVRNA""}","{""STAT1"", ""protein_coding:SLVRNA""}","{""PRR13"", ""protein_coding:SLVRNA""}","{""RREB1"", ""protein_coding:SLVRNA""}","{""PPCDC"", ""protein_coding:SLVRNA""}",,,"{""RP11-274B21.4"", ""processed_pseudogene:SLVRNA""}",,,,"{""TMEM40"", ""protein_coding:SLVRNA""}",,,,,
,"{""YPEL5"", ""protein_coding:SLVRNA""}","{""ACER1"", ""protein_coding:SLVRNA""}","{""PDLIM2"", ""retained_intron:SLVRNA""}","{""ATG9A"", ""retained_intron:SLVRNA""}","{""C1orf43"", ""protein_coding:SLVRNA""}",,,"{""MYLIP"", ""protein_coding:SLVRNA""}",,,,"{""PPP1R18"", ""protein_coding:SLVRNA""}",,,,,
,"{""RPL7A"", ""protein_coding:SLVRNA""}","{""ANKRD11"", ""retained_intron:SLVRNA""}","{""DMPK"", ""protein_coding:SLVRNA""}","{""PTK2B"", ""protein_coding:SLVRNA""}","{""FDPS"", ""retained_intron:SLVRNA""}",,,"{""DGKA"", ""retained_intron:SLVRNA""}",,,,,,,,,
,"{""PPP1R12C"", ""protein_coding:SLVRNA""}","{""NECTIN1"", ""protein_coding:SLVRNA""}","{""MTMR1"", ""protein_coding:SLVRNA""}","{""FGR"", ""protein_coding:SLVRNA""}","{""RBM42"", ""protein_coding:SLVRNA""}",,,"{""ZGPAT"", ""retained_intron:SLVRNA""}",,,,,,,,,
,"{""ZNF365"", ""processed_transcript:SLVRNA""}","{""RPRD1A"", ""protein_coding:SLVRNA""}","{""GAS5"", ""retained_intron:SLVRNA""}","{""SKIL"", ""processed_transcript:SLVRNA""}",,,,"{""ZNF655"", ""processed_transcript:SLVRNA""}",,,,,,,,,
,"{""BRAF"", ""protein_coding:SLVRNA""}","{""HLA-C"", ""retained_intron:SLVRNA""}","{""DHX36"", ""retained_intron:SLVRNA""}","{""MED15"", ""retained_intron:SLVRNA""}",,,,"{""KBTBD2"", ""protein_coding:SLVRNA""}",,,,,,,,,
,"{""IL10RB"", ""protein_coding:SLVRNA""}","{""GNB5"", ""protein_coding:SLVRNA""}","{""SAMD8"", ""protein_coding:SLVRNA""}","{""PTPMT1"", ""protein_coding:SLVRNA""}",,,,"{""LITAF"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,
,"{""ELMO2"", ""protein_coding:SLVRNA""}","{""ITGB8"", ""retained_intron:SLVRNA""}","{""NFKBIE"", ""protein_coding:SLVRNA""}","{""RAB3A"", ""protein_coding:SLVRNA""}",,,,"{""PRKAR1A"", ""protein_coding:SLVRNA""}",,,,,,,,,
,"{""CRB3"", ""protein_coding:SLVRNA""}","{""GBP4"", ""protein_coding:SLVRNA""}","{""ZMYND15"", ""protein_coding:SLVRNA""}","{""TNFRSF10D"", ""protein_coding:SLVRNA""}",,,,"{""RPL36"", ""protein_coding:SLVRNA""}",,,,,,,,,
,"{""ECD"", ""protein_coding:SLVRNA""}","{""FAM136A"", ""protein_coding:SLVRNA""}","{""PLD3"", ""protein_coding:SLVRNA""}","{""UBLCP1"", ""protein_coding:SLVRNA""}",,,,"{""TSC22D3"", ""protein_coding:SLVRNA""}",,,,,,,,,
,"{""ALKBH5"", ""protein_coding:SLVRNA""}","{""CHMP1B2P"", ""processed_transcript:SLVRNA""}","{""YIPF5"", ""protein_coding:SLVRNA""}","{""HPRT1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,
,"{""ZBED2"", ""protein_coding:SLVRNA""}","{""RP11-544M22.13"", ""nonsense_mediated_decay:SLVRNA""}","{""GATAD1"", ""protein_coding:SLVRNA""}","{""VPS35"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,
,"{""ZNRF2"", ""protein_coding:SLVRNA""}","{""PARP14"", ""retained_intron:SLVRNA""}","{""ST6GALNAC2"", ""protein_coding:SLVRNA""}","{""IDH2"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,,,,
,"{""ANXA4"", ""protein_coding:SLVRNA""}","{""WDR45"", ""protein_coding:SLVRNA""}","{""PILRA"", ""protein_coding:SLVRNA""}","{""AC008268.3"", ""lincRNA:SLVRNA""}",,,,,,,,,,,,,
,"{""HMGB1"", ""protein_coding:SLVRNA""}","{""CIAO1"", ""protein_coding:SLVRNA""}","{""RP11-884K10.5"", ""protein_coding:SLVRNA""}","{""MGLL"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,
,"{""WIPI2"", ""protein_coding:SLVRNA""}","{""HSPD1"", ""retained_intron:SLVRNA""}","{""CPPED1"", ""protein_coding:SLVRNA""}","{""GATM"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,
,"{""AFTPH"", ""protein_coding:SLVRNA""}","{""GOLGA4"", ""protein_coding:SLVRNA""}","{""IL19"", ""protein_coding:SLVRNA""}","{""IMPDH1"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,
,"{""AC136007.2"", ""antisense:SLVRNA""}","{""MKNK2"", ""retained_intron:SLVRNA""}","{""ARHGEF1"", ""retained_intron:SLVRNA""}","{""KIFC3"", ""TEC:SLVRNA""}",,,,,,,,,,,,,
,"{""ALAS1"", ""protein_coding:SLVRNA""}","{""RP11-482G13.1"", ""lincRNA:SLVRNA""}","{""UBE2D1"", ""protein_coding:SLVRNA""}","{""DNAJB2"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,
,"{""STK38L"", ""protein_coding:SLVRNA""}","{""JAK3"", ""processed_transcript:SLVRNA""}","{""PTP4A1"", ""protein_coding:SLVRNA""}","{""PPP2R3C"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,,,,
,"{""ZNF207"", ""protein_coding:SLVRNA""}","{""TLN1"", ""protein_coding:SLVRNA""}","{""BCYRN1"", ""scRNA:SLVRNA""}","{""CYTH2"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,
,"{""FUCA1"", ""protein_coding:SLVRNA""}","{""AP5B1"", ""protein_coding:SLVRNA""}","{""RCN2"", ""protein_coding:SLVRNA""}","{""HDLBP"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,
,"{""C7orf73"", ""protein_coding:SLVRNA""}","{""IL1B"", ""retained_intron:SLVRNA""}","{""BMP2"", ""protein_coding:SLVRNA""}","{""SLC2A4RG"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,
,"{""TAB2"", ""protein_coding:SLVRNA""}","{""ACTB"", ""retained_intron:SLVRNA""}","{""MTRNR2L3"", ""protein_coding:SLVRNA""}","{""USP33"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,
,"{""SNX10"", ""protein_coding:SLVRNA""}","{""CSF3R"", ""retained_intron:SLVRNA""}","{""RPS4Y1"", ""protein_coding:SLVRNA""}","{""TAOK3"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,
,"{""TKT"", ""protein_coding:SLVRNA""}","{""SLC25A37"", ""retained_intron:SLVRNA""}","{""RPL27"", ""protein_coding:SLVRNA""}","{""GNB1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,
,"{""MT-CO3"", ""protein_coding:SLVRNA""}","{""IL4R"", ""retained_intron:SLVRNA""}","{""MTRNR2L6"", ""protein_coding:SLVRNA""}","{""SRXN1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,
,"{""MT-ND1"", ""protein_coding:SLVRNA""}","{""EHD3"", ""protein_coding:SLVRNA""}","{""PRKAR1A"", ""nonsense_mediated_decay:SLVRNA""}","{""NFE2L2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,
,"{""MT-CO2"", ""protein_coding:SLVRNA""}","{""SRC"", ""protein_coding:SLVRNA""}",,"{""TRANK1"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,,,,
,"{""MT-ND4"", ""protein_coding:SLVRNA""}","{""NAMPT"", ""retained_intron:SLVRNA""}",,"{""NDUFA2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,
,"{""MT-CYB"", ""protein_coding:SLVRNA""}","{""ADAM8"", ""protein_coding:SLVRNA""}",,"{""BBIP1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,
,"{""MT-ND5"", ""protein_coding:SLVRNA""}","{""FMNL1"", ""processed_transcript:SLVRNA""}",,"{""STAT6"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,
,"{""MT-CO1"", ""protein_coding:SLVRNA""}","{""FCGR2C"", ""processed_transcript:SLVRNA""}",,"{""CLDN10"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,
,"{""MT-ND4L"", ""protein_coding:SLVRNA""}","{""DENND3"", ""protein_coding:SLVRNA""}",,"{""BCL10"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,
,"{""MT-RNR2"", ""Mt_rRNA:SLVRNA""}","{""PGS1"", ""retained_intron:SLVRNA""}",,"{""CHMP5"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,
,"{""MT-RNR1"", ""Mt_rRNA:SLVRNA""}","{""PRRC2A"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RP5-857K21.10"", ""unprocessed_pseudogene:SLVRNA""}","{""NAMPT"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,
,"{""MT-ATP6"", ""protein_coding:SLVRNA""}","{""INPP5K"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RPS18"", ""protein_coding:SLVRNA""}","{""RN7SL2"", ""misc_RNA:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RPL23A"", ""protein_coding:SLVRNA""}","{""SLC2A3"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""PAFAH1B1"", ""processed_transcript:SLVRNA""}","{""CAPN2"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RPS6"", ""protein_coding:SLVRNA""}","{""CCNL1"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RPL3"", ""protein_coding:SLVRNA""}","{""RPAP2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RPLP2"", ""protein_coding:SLVRNA""}","{""AP000347.2"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,
,"{""ZG16B"", ""protein_coding:SLVRNA""}","{""SH3BP2"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,,,,,,
,"{""DYNLT1"", ""protein_coding:SLVRNA""}","{""C1GALT1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""OAZ1"", ""retained_intron:SLVRNA""}","{""MINK1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""EEF1A1"", ""protein_coding:SLVRNA""}","{""COQ4"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RPS3A"", ""protein_coding:SLVRNA""}","{""GIPC1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RPL30"", ""protein_coding:SLVRNA""}","{""C17orf62"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RPL38"", ""protein_coding:SLVRNA""}","{""LINC01002"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RPS29"", ""protein_coding:SLVRNA""}","{""ELL2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RP5-857K21.9"", ""unprocessed_pseudogene:SLVRNA""}","{""SLC43A2"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RP5-1171I10.5"", ""antisense:SLVRNA""}","{""SCARF1"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,
,"{""B2M"", ""retained_intron:SLVRNA""}","{""KIAA0226L"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""ATP7A"", ""protein_coding:SLVRNA""}","{""MEFV"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""HNRNPA3"", ""protein_coding:SLVRNA""}","{""ILK"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""NMI"", ""protein_coding:SLVRNA""}","{""DNAJC5"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""NFIL3"", ""protein_coding:SLVRNA""}","{""AKAP17A"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""TMX4"", ""protein_coding:SLVRNA""}","{""GTF2IP18"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,
,"{""HLA-B"", ""retained_intron:SLVRNA""}","{""CSRNP1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""MLKL"", ""retained_intron:SLVRNA""}","{""UBALD1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""NRAS"", ""protein_coding:SLVRNA""}","{""EMP1"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""CAPZA1"", ""protein_coding:SLVRNA""}","{""TSC22D4"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""HDGF"", ""protein_coding:SLVRNA""}","{""C18orf25"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""HSPA9"", ""protein_coding:SLVRNA""}","{""PHTF2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""CTSC"", ""protein_coding:SLVRNA""}","{""ZNF267"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""CCL3"", ""protein_coding:SLVRNA""}","{""WDR1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""EIF1"", ""protein_coding:SLVRNA""}","{""PPARD"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RHEB"", ""protein_coding:SLVRNA""}","{""IL1RN"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""SERF2"", ""nonsense_mediated_decay:SLVRNA""}","{""PREX1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""FCER1G"", ""protein_coding:SLVRNA""}","{""APOBEC3A"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,
,"{""PTP4A2"", ""protein_coding:SLVRNA""}","{""FCGR2B"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""VAMP7"", ""protein_coding:SLVRNA""}","{""RP11-34P13.13"", ""antisense:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RP5-857K21.6"", ""unprocessed_pseudogene:SLVRNA""}","{""KDM6B"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""BCL6"", ""nonsense_mediated_decay:SLVRNA""}","{""PLEK"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""KRT4"", ""nonsense_mediated_decay:SLVRNA""}","{""IL1B"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,
,"{""ARRDC3"", ""protein_coding:SLVRNA""}","{""LRRK1"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""TIFA"", ""protein_coding:SLVRNA""}","{""ZSWIM8"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""C9orf78"", ""protein_coding:SLVRNA""}","{""MCL1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""DNAJA1"", ""protein_coding:SLVRNA""}","{""BCL6"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,
,"{""CHMP4C"", ""protein_coding:SLVRNA""}","{""ADGRG3"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""UBE2R2"", ""protein_coding:SLVRNA""}","{""BCL6"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RPL21"", ""protein_coding:SLVRNA""}","{""CYTH4"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""SNX13"", ""protein_coding:SLVRNA""}","{""CD44"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""MAGT1"", ""protein_coding:SLVRNA""}","{""BATF2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""ARFIP1"", ""protein_coding:SLVRNA""}","{""ARHGAP26"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""PRKACA"", ""protein_coding:SLVRNA""}","{""USP11"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""LCOR"", ""protein_coding:SLVRNA""}","{""FBP1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""TPRA1"", ""protein_coding:SLVRNA""}","{""XPO6"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""IGFL1"", ""protein_coding:SLVRNA""}","{""DMXL2"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,
,"{""UBQLN4"", ""protein_coding:SLVRNA""}","{""RP4-669L17.4"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,
,"{""SMARCA4"", ""protein_coding:SLVRNA""}","{""TNFAIP3"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""CCNG2"", ""protein_coding:SLVRNA""}","{""LIPN"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""AP2A1"", ""protein_coding:SLVRNA""}","{""APOL6"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""CNNM4"", ""protein_coding:SLVRNA""}","{""KIF1C"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""ANKRD37"", ""retained_intron:SLVRNA""}","{""FGD3"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""ABCD1"", ""protein_coding:SLVRNA""}","{""SRSF7"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""B3GALT4"", ""protein_coding:SLVRNA""}","{""LTA4H"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""B3GNT3"", ""protein_coding:SLVRNA""}","{""TAGAP"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""GPR137B"", ""protein_coding:SLVRNA""}","{""THOC7"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""EIF4A1"", ""retained_intron:SLVRNA""}","{""RP4-773A18.10"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""HECTD1"", ""protein_coding:SLVRNA""}","{""ZEB1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""DEAF1"", ""processed_transcript:SLVRNA""}","{""CCDC130"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,
,"{""GNA13"", ""protein_coding:SLVRNA""}","{""TBL1XR1"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""VPS13D"", ""protein_coding:SLVRNA""}","{""DSTN"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""ABCA1"", ""protein_coding:SLVRNA""}","{""AP3D1"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""TRERF1"", ""protein_coding:SLVRNA""}","{""CTSV"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""GPR155"", ""protein_coding:SLVRNA""}","{""MRPS24"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""GCN1"", ""protein_coding:SLVRNA""}","{""CCDC50"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""DDX3X"", ""protein_coding:SLVRNA""}","{""DIAPH1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""CASC3"", ""protein_coding:SLVRNA""}","{""IRAK2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""VLDLR"", ""protein_coding:SLVRNA""}","{""TPD52L2"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RNF19B"", ""protein_coding:SLVRNA""}","{""ADAMTSL4-AS1"", ""antisense:SLVRNA""}",,,,,,,,,,,,,,,
,"{""HNRNPDL"", ""protein_coding:SLVRNA""}","{""GNAS"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,
,"{""PRSS22"", ""retained_intron:SLVRNA""}","{""NPIPB5"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,
,"{""FGFR1OP2"", ""protein_coding:SLVRNA""}","{""VSIG8"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""ALDH1A3"", ""protein_coding:SLVRNA""}","{""B4GALT5"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""TNFRSF21"", ""protein_coding:SLVRNA""}","{""CTB-89H12.4"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""CNPY3"", ""protein_coding:SLVRNA""}","{""IL1R1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""TRMT112"", ""protein_coding:SLVRNA""}","{""DUSP10"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""PSMB6"", ""protein_coding:SLVRNA""}","{""AMPD3"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""GLUD1"", ""protein_coding:SLVRNA""}","{""CDC123"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""ME1"", ""protein_coding:SLVRNA""}","{""SERPINB9"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""IFNGR2"", ""protein_coding:SLVRNA""}","{""VCAN"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""ADD3"", ""protein_coding:SLVRNA""}","{""GRIPAP1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""IFNAR1"", ""protein_coding:SLVRNA""}","{""TAGAP"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,,,,,,
,"{""AKR1A1"", ""protein_coding:SLVRNA""}","{""CALM1"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""SPCS3"", ""protein_coding:SLVRNA""}","{""MYH9"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RPS17"", ""protein_coding:SLVRNA""}","{""SLC12A9"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RPL35"", ""protein_coding:SLVRNA""}","{""DGAT2"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""YWHAE"", ""protein_coding:SLVRNA""}","{""LIMK2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""GABARAP"", ""protein_coding:SLVRNA""}","{""TAPBP"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RPL23"", ""protein_coding:SLVRNA""}","{""CTDP1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RPL13A"", ""protein_coding:SLVRNA""}","{""RP11-196N14.1"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,
,"{""ARPC3"", ""protein_coding:SLVRNA""}","{""MAN2B1"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RPL19"", ""protein_coding:SLVRNA""}","{""TAF15"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""GNAS"", ""protein_coding:SLVRNA""}","{""TOM1L2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RPS9"", ""protein_coding:SLVRNA""}","{""WASH5P"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""SRSF9"", ""protein_coding:SLVRNA""}","{""ZNF263"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""PERP"", ""protein_coding:SLVRNA""}","{""ACSS2"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,
,"{""ANXA1"", ""protein_coding:SLVRNA""}","{""EMILIN2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""SERPINB3"", ""protein_coding:SLVRNA""}","{""ARHGAP4"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""VPS4B"", ""protein_coding:SLVRNA""}","{""SMCHD1"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""PGK1"", ""protein_coding:SLVRNA""}","{""SCARF1"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RPS21"", ""protein_coding:SLVRNA""}","{""ETS2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""UBL5"", ""protein_coding:SLVRNA""}","{""SLC7A5"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""MYL6"", ""protein_coding:SLVRNA""}","{""FOSL2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""RPS15A"", ""protein_coding:SLVRNA""}","{""IVNS1ABP"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
,"{""YWHAB"", ""protein_coding:SLVRNA""}","{""PFKFB3"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""S100A10"", ""protein_coding:SLVRNA""}","{""RP11-356C4.4"", ""lincRNA:SLVRNA""}",,,,,,,,,,,,,,,
,"{""ATP6V1E1"", ""protein_coding:SLVRNA""}","{""RP11-484L7.2"", ""processed_pseudogene:SLVRNA""}",,,,,,,,,,,,,,,
,"{""CIB1"", ""protein_coding:SLVRNA""}","{""DENND3"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,
,"{""ARPC2"", ""protein_coding:SLVRNA""}","{""NPIPB3"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,
,"{""MORF4L2"", ""protein_coding:SLVRNA""}","{""ADPGK"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,,,,,,
,"{""HTN3"", ""protein_coding:SLVRNA""}","{""GALC"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,
