"","target_id","ext_gene","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"1","ENSG00000104368","PLAT",5,25.9104845568093,5.0967783555501e-09,3.25786072486762e-05
"2","ENSG00000105835","NAMPT",22,138.111558024578,5.09897988362268e-08,0.000162963397080581
"3","ENSG00000130066","SAT1",7,52.2859945150372,3.8896854688135e-07,0.000621571737916397
"4","ENSG00000176788","BASP1",2,12.5697680905566,3.75399736462435e-07,0.000621571737916397
"5","ENSG00000185201","IFITM2",5,24.0418807965133,1.33534728133881e-06,0.00170710796446353
"6","ENSG00000167996","FTH1",9,73.7567682423138,2.54654861093678e-06,0.00271292312018465
"7","ENSG00000136167","LCP1",2,16.2919032217728,4.09933463276264e-06,0.00315030355091904
"8","ENSG00000163902","RPN1",1,5.1695748842874,3.58202456056594e-06,0.00315030355091904
"9","ENSG00000185088","RPS27L",2,5.09602415548181,4.6267042046842e-06,0.00315030355091904
"10","ENSG00000119535","CSF3R",9,58.4924284356144,4.92850993573067e-06,0.00315030355091904
"11","ENSG00000125538","IL1B",6,41.6719481795157,6.50492596055956e-06,0.00319842205691513
"12","ENSG00000118898","PPL",2,14.1988826862307,6.03367859117398e-06,0.00319842205691513
"13","ENSG00000181617","FDCSP",1,10.2827224289792,5.8303768858415e-06,0.00319842205691513
"14","ENSG00000132475","H3-3B",7,50.7857206871375,7.13933572102547e-06,0.00325961670919963
"15","ENSG00000163041","H3-3A",3,17.7759278960913,8.11792861033771e-06,0.00345931997848524
"16","ENSG00000104490","NCALD",1,6.37823231852357,9.88711641154147e-06,0.00394990300641082
"17","ENSG00000124126","PREX1",2,13.7617974499998,1.55773165161888e-05,0.00492168874364036
"18","ENSG00000142676","RPL11",3,14.9987475369348,1.36714985355757e-05,0.00492168874364036
"19","ENSG00000156413","FUT6",2,9.4912790788073,1.71437189317811e-05,0.00492168874364036
"20","ENSG00000166164","BRD7",3,9.30751251965339,1.77094557421352e-05,0.00492168874364036
"21","ENSG00000188290","HES4",3,15.4146523839498,1.7587386008772e-05,0.00492168874364036
"22","ENSG00000008952","SEC62",2,8.53886803576729,1.42430339359675e-05,0.00492168874364036
"23","ENSG00000166839","ANKDD1A",1,3.79766464808086,1.72137242102749e-05,0.00492168874364036
"24","ENSG00000133112","TPT1",10,59.2983442677254,1.96312919271614e-05,0.00501932871993661
"25","ENSG00000138621","PPCDC",3,10.124921665272,1.88681190486429e-05,0.00501932871993661
"26","ENSG00000204397","CARD16",1,3.80249610338378,2.31075979924843e-05,0.00568091409107537
"27","ENSG00000062194","GPBP1",3,9.79396190082351,2.64079977467683e-05,0.00587018577201935
"28","ENSG00000173120","KDM2A",2,9.43767071397336,2.66325699919526e-05,0.00587018577201935
"29","ENSG00000145287","PLAC8",2,6.10666255205467,2.54907756682262e-05,0.00587018577201935
"30","ENSG00000163932","PRKCD",4,15.0414906318319,3.25191504519775e-05,0.00692874698963468
"31","ENSG00000139132","FGD4",1,4.64923346520276,3.56540299488193e-05,0.00735163094944686
"32","ENSG00000215717","TMEM167B",1,5.24599367697955,3.86815599931672e-05,0.00772664160863515
"33","ENSG00000116741","RGS2",4,24.8759871552796,4.25958764961278e-05,0.00825069219888632
"34","ENSG00000106609","TMEM248",3,10.5363969922179,4.5699156286504e-05,0.00859144138186275
"35","ENSG00000176853","FAM91A1",2,7.45852591448218,4.74821465363221e-05,0.0086715965902906
"36","ENSG00000103496","STX4",2,7.81039590839181,5.44322020827894e-05,0.00940353069495108
"37","ENSG00000118972","FGF23",1,6.85258390287941,5.39500472800728e-05,0.00940353069495108
"38","ENSG00000177191","B3GNT8",1,6.01843212550747,5.63623846179064e-05,0.009480746380991
"39","ENSG00000162191","UBXN1",1,3.61947724488276,6.0465545051304e-05,0.00991014779404962
"40","ENSG00000217555","CKLF",2,7.16436004896262,6.29582382047192e-05,0.0100607264651141
"41","ENSG00000164111","ANXA5",1,4.36324700073217,6.85884239645409e-05,0.0106931025849109
"42","ENSG00000104915","STX10",2,7.86017395557268,7.71549141595161e-05,0.0114691677048285
"43","ENSG00000110713","NUP98",3,11.0529194224775,7.56170650257111e-05,0.0114691677048285
"44","ENSG00000067334","DNTTIP2",3,10.2997256476989,8.46565376701061e-05,0.0117669966989083
