"","target_id","ext_gene","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"1","ENSG00000274058","TMPRSS11E",1,6.16580403347141,1.01445775581148e-08,8.21507890656133e-05
"2","ENSG00000011600","TYROBP",6,25.2305323146149,2.4089552390914e-08,9.75385976308108e-05
"3","ENSG00000197111","PCBP2",8,32.9127571688391,3.67200383815831e-08,9.91196236046866e-05
"4","ENSG00000076944","STXBP2",10,41.4178131991726,1.19826409328779e-07,0.000242588565686114
"5","ENSG00000117984","CTSD",3,14.4887976228023,1.86090847284719e-07,0.000250223892503145
"6","ENSG00000162244","RPL29",1,5.99713005640599,2.06527948150158e-07,0.000250223892503145
"7","ENSG00000125753","VASP",8,37.0609689450934,2.16296276552484e-07,0.000250223892503145
"8","ENSG00000288299","LDHA",4,16.1966005225109,2.78431638554548e-07,0.000250526601001636
"9","ENSG00000134333","LDHA",4,16.1966005225109,2.78431638554548e-07,0.000250526601001636
"10","ENSG00000170296","GABARAP",4,21.2435153382277,4.08597331198267e-07,0.000300801926185779
"11","ENSG00000196352","CD55",8,33.721088550988,3.99069821807993e-07,0.000300801926185779
"12","ENSG00000099622","CIRBP",4,16.0457825542322,4.92173907406497e-07,0.000332135358514818
"13","ENSG00000196547","MAN2A2",2,10.1365252087905,5.33992757940903e-07,0.000332636411831187
"14","ENSG00000214078","CPNE1",3,10.2777886639763,1.05175691721495e-06,0.00053190434636386
"15","ENSG00000164543","STK17A",3,10.649273302291,1.56420495417798e-06,0.00053190434636386
"16","ENSG00000197249","SERPINA1",8,36.0109366993848,1.37451519400751e-06,0.00053190434636386
"17","ENSG00000163660","CCNL1",11,58.1166096999978,1.57640211320482e-06,0.00053190434636386
"18","ENSG00000135404","CD63",1,6.46704020440021,1.22675345580443e-06,0.00053190434636386
"19","ENSG00000105993","DNAJB6",4,19.8070050498206,9.73815823498533e-07,0.00053190434636386
"20","ENSG00000167755","KLK6",2,10.2865580253018,1.4027266453373e-06,0.00053190434636386
"21","ENSG00000115590","IL1R2",6,26.1650669401877,1.4508979068307e-06,0.00053190434636386
"22","ENSG00000178927","CYBC1",8,38.3020113408086,1.28848446482188e-06,0.00053190434636386
"23","ENSG00000131037","EPS8L1",8,39.9726107130338,1.26969054266077e-06,0.00053190434636386
"24","ENSG00000143815","LBR",1,5.6466410665281,1.23187757746407e-06,0.00053190434636386
"25","ENSG00000173812","EIF1",6,32.4684424942509,1.92767424815797e-06,0.00055751093077083
"26","ENSG00000102393","GLA",5,23.2850632302038,1.87999644293327e-06,0.00055751093077083
"27","ENSG00000141562","NARF",9,34.2898558631972,1.75935766359933e-06,0.00055751093077083
"28","ENSG00000167283","ATP5MG",2,8.53187582003114,1.79613735392318e-06,0.00055751093077083
"29","ENSG00000123146","ADGRE5",5,21.8255789459375,2.13728092742132e-06,0.000596817274146823
"30","ENSG00000119048","UBE2B",6,25.4788725790731,2.34822439244624e-06,0.000633864037667655
"31","ENSG00000104805","NUCB1",4,17.7696048352898,2.4609024234176e-06,0.00064285122015599
"32","ENSG00000198814","GK",7,38.392059636787,2.78848577161684e-06,0.000684277508441005
"33","ENSG00000115607","IL18RAP",2,11.1533962592757,2.78601264850663e-06,0.000684277508441005
"34","ENSG00000081041","CXCL2",2,8.99147489422388,3.38369822329739e-06,0.000805917300360655
"35","ENSG00000116701","NCF2",6,30.0201783153061,3.49095716353277e-06,0.000807707746008238
